Region,Region_Name,CL_Category,CL,Percentage,Count
Class I Areas,Acadia NP,A (Min Min),3,93.40156092,130326
Class I Areas,Acadia NP,A (Min Min),5,6.180616772,8624
Class I Areas,Acadia NP,A (Min Min),6,0,0
Class I Areas,Acadia NP,A (Min Min),7,0.417822307,583
Class I Areas,Acadia NP,A (Min Min),8,0,0
Class I Areas,Acadia NP,A (Min Min),9,0,0
Class I Areas,Acadia NP,A (Min Min),10,0,0
Class I Areas,Acadia NP,A (Min Min),11,0,0
Class I Areas,Acadia NP,A (Min Min),12,0,0
Class I Areas,Acadia NP,A (Min Min),13,0,0
Class I Areas,Acadia NP,A (Min Min),14,0,0
Class I Areas,Acadia NP,A (Min Min),17,0,0
Class I Areas,Acadia NP,A (Min Min),18,0,0
Class I Areas,Acadia NP,B (Max Min),3,0.198519347,277
Class I Areas,Acadia NP,B (Max Min),5,6.585538905,9189
Class I Areas,Acadia NP,B (Max Min),6,0,0
Class I Areas,Acadia NP,B (Max Min),7,0,0
Class I Areas,Acadia NP,B (Max Min),8,0,0
Class I Areas,Acadia NP,B (Max Min),9,2.091978242,2919
Class I Areas,Acadia NP,B (Max Min),10,0,0
Class I Areas,Acadia NP,B (Max Min),11,10.75802857,15011
Class I Areas,Acadia NP,B (Max Min),12,0,0
Class I Areas,Acadia NP,B (Max Min),13,0,0
Class I Areas,Acadia NP,B (Max Min),14,3.306744641,4614
Class I Areas,Acadia NP,B (Max Min),15,0,0
Class I Areas,Acadia NP,B (Max Min),17,4.279274437,5971
Class I Areas,Acadia NP,B (Max Min),18,72.77991586,101552
Class I Areas,Acadia NP,C (Max Max),5,0,0
Class I Areas,Acadia NP,C (Max Max),6,0,0
Class I Areas,Acadia NP,C (Max Max),7,0,0
Class I Areas,Acadia NP,C (Max Max),8,0,0
Class I Areas,Acadia NP,C (Max Max),9,0,0
Class I Areas,Acadia NP,C (Max Max),10,0.198519347,277
Class I Areas,Acadia NP,C (Max Max),12,0,0
Class I Areas,Acadia NP,C (Max Max),13,6.585538905,9189
Class I Areas,Acadia NP,C (Max Max),14,0,0
Class I Areas,Acadia NP,C (Max Max),15,2.091978242,2919
Class I Areas,Acadia NP,C (Max Max),17,0.002866705,4
Class I Areas,Acadia NP,C (Max Max),18,14.0619065,19621
Class I Areas,Acadia NP,C (Max Max),19,0,0
Class I Areas,Acadia NP,C (Max Max),21,0,0
Class I Areas,Acadia NP,C (Max Max),23,0,0
Class I Areas,Acadia NP,C (Max Max),26,77.0591903,107523
Class I Areas,Acadia NP,D (Min Max),5,65.68195337,91648
Class I Areas,Acadia NP,D (Min Max),6,21.24873686,29649
Class I Areas,Acadia NP,D (Min Max),7,5.868145887,8188
Class I Areas,Acadia NP,D (Min Max),8,0,0
Class I Areas,Acadia NP,D (Min Max),9,0,0
Class I Areas,Acadia NP,D (Min Max),10,0.60344148,842
Class I Areas,Acadia NP,D (Min Max),11,0,0
Class I Areas,Acadia NP,D (Min Max),12,0.417822307,583
Class I Areas,Acadia NP,D (Min Max),13,6.179900095,8623
Class I Areas,Acadia NP,D (Min Max),14,0,0
Class I Areas,Acadia NP,D (Min Max),15,0,0
Class I Areas,Acadia NP,D (Min Max),17,0,0
Class I Areas,Acadia NP,D (Min Max),18,0,0
Class I Areas,Acadia NP,D (Min Max),21,0,0
Class I Areas,Acadia NP,D (Min Max),26,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),3,81.26667548,2943852
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),5,18.73313128,678600
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),6,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),7,0.000193239,7
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),8,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),9,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),10,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),11,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),12,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),13,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),14,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),17,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),18,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),3,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),5,0.054438159,1972
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),6,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),7,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),8,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),9,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),10,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),11,1.37127846,49674
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),12,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),13,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),14,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),15,98.57428338,3570813
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),17,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),18,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),5,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),6,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),7,0.054327737,1968
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),8,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),9,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),10,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),12,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),13,0.000110422,4
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),14,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),15,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),17,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),18,1.37127846,49674
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),19,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),21,98.57428338,3570813
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),23,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),26,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),5,0.631090649,22861
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),6,14.19483285,514202
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),7,75.77645461,2744971
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),8,9.397428653,340418
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),9,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),10,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),11,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),12,0.000193239,7
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),13,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),14,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),15,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),17,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),18,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),21,0,0
Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),26,0,0
Class I Areas,Brigantine Wilderness,A (Min Min),3,0,0
Class I Areas,Brigantine Wilderness,A (Min Min),5,0,0
Class I Areas,Brigantine Wilderness,A (Min Min),6,0,0
Class I Areas,Brigantine Wilderness,A (Min Min),7,0,0
Class I Areas,Brigantine Wilderness,A (Min Min),8,0,0
Class I Areas,Brigantine Wilderness,A (Min Min),9,0,0
Class I Areas,Brigantine Wilderness,A (Min Min),10,0,0
Class I Areas,Brigantine Wilderness,A (Min Min),11,0,0
Class I Areas,Brigantine Wilderness,A (Min Min),12,0,0
Class I Areas,Brigantine Wilderness,A (Min Min),13,0,0
Class I Areas,Brigantine Wilderness,A (Min Min),14,100,4
Class I Areas,Brigantine Wilderness,A (Min Min),17,0,0
Class I Areas,Brigantine Wilderness,A (Min Min),18,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),3,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),5,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),6,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),7,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),8,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),9,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),10,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),11,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),12,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),13,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),14,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),15,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),17,0,0
Class I Areas,Brigantine Wilderness,B (Max Min),18,100,4
Class I Areas,Brigantine Wilderness,C (Max Max),5,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),6,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),7,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),8,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),9,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),10,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),12,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),13,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),14,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),15,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),17,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),18,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),19,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),21,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),23,0,0
Class I Areas,Brigantine Wilderness,C (Max Max),26,100,4
Class I Areas,Brigantine Wilderness,D (Min Max),5,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),6,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),7,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),8,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),9,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),10,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),11,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),12,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),13,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),14,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),15,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),17,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),18,100,4
Class I Areas,Brigantine Wilderness,D (Min Max),21,0,0
Class I Areas,Brigantine Wilderness,D (Min Max),26,0,0
Class I Areas,Dolly Sods Wilderness,A (Min Min),3,95.88396707,44028
Class I Areas,Dolly Sods Wilderness,A (Min Min),5,0,0
Class I Areas,Dolly Sods Wilderness,A (Min Min),6,0,0
Class I Areas,Dolly Sods Wilderness,A (Min Min),7,4.116032928,1890
Class I Areas,Dolly Sods Wilderness,A (Min Min),8,0,0
Class I Areas,Dolly Sods Wilderness,A (Min Min),9,0,0
Class I Areas,Dolly Sods Wilderness,A (Min Min),10,0,0
Class I Areas,Dolly Sods Wilderness,A (Min Min),11,0,0
Class I Areas,Dolly Sods Wilderness,A (Min Min),12,0,0
Class I Areas,Dolly Sods Wilderness,A (Min Min),13,0,0
Class I Areas,Dolly Sods Wilderness,A (Min Min),14,0,0
Class I Areas,Dolly Sods Wilderness,A (Min Min),17,0,0
Class I Areas,Dolly Sods Wilderness,A (Min Min),18,0,0
Class I Areas,Dolly Sods Wilderness,B (Max Min),3,0,0
Class I Areas,Dolly Sods Wilderness,B (Max Min),5,0,0
Class I Areas,Dolly Sods Wilderness,B (Max Min),6,0,0
Class I Areas,Dolly Sods Wilderness,B (Max Min),7,0,0
Class I Areas,Dolly Sods Wilderness,B (Max Min),8,0,0
Class I Areas,Dolly Sods Wilderness,B (Max Min),9,0,0
Class I Areas,Dolly Sods Wilderness,B (Max Min),10,0,0
Class I Areas,Dolly Sods Wilderness,B (Max Min),11,39.51609391,18145
Class I Areas,Dolly Sods Wilderness,B (Max Min),12,0,0
Class I Areas,Dolly Sods Wilderness,B (Max Min),13,0,0
Class I Areas,Dolly Sods Wilderness,B (Max Min),14,42.17953744,19368
Class I Areas,Dolly Sods Wilderness,B (Max Min),15,0,0
Class I Areas,Dolly Sods Wilderness,B (Max Min),17,4.240167255,1947
Class I Areas,Dolly Sods Wilderness,B (Max Min),18,14.0642014,6458
Class I Areas,Dolly Sods Wilderness,C (Max Max),5,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),6,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),7,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),8,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),9,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),10,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),12,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),13,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),14,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),15,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),17,0.461692582,212
Class I Areas,Dolly Sods Wilderness,C (Max Max),18,81.23393876,37301
Class I Areas,Dolly Sods Wilderness,C (Max Max),19,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),21,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),23,0,0
Class I Areas,Dolly Sods Wilderness,C (Max Max),26,18.30436866,8405
Class I Areas,Dolly Sods Wilderness,D (Min Max),5,6.91449976,3175
Class I Areas,Dolly Sods Wilderness,D (Min Max),6,6.818676772,3131
Class I Areas,Dolly Sods Wilderness,D (Min Max),7,81.65860882,37496
Class I Areas,Dolly Sods Wilderness,D (Min Max),8,0.476937149,219
Class I Areas,Dolly Sods Wilderness,D (Min Max),9,0.015244566,7
Class I Areas,Dolly Sods Wilderness,D (Min Max),10,0,0
Class I Areas,Dolly Sods Wilderness,D (Min Max),11,0,0
Class I Areas,Dolly Sods Wilderness,D (Min Max),12,4.116032928,1890
Class I Areas,Dolly Sods Wilderness,D (Min Max),13,0,0
Class I Areas,Dolly Sods Wilderness,D (Min Max),14,0,0
Class I Areas,Dolly Sods Wilderness,D (Min Max),15,0,0
Class I Areas,Dolly Sods Wilderness,D (Min Max),17,0,0
Class I Areas,Dolly Sods Wilderness,D (Min Max),18,0,0
Class I Areas,Dolly Sods Wilderness,D (Min Max),21,0,0
Class I Areas,Dolly Sods Wilderness,D (Min Max),26,0,0
Class I Areas,Great Gulf Wilderness,A (Min Min),3,100,19050
Class I Areas,Great Gulf Wilderness,A (Min Min),5,0,0
Class I Areas,Great Gulf Wilderness,A (Min Min),6,0,0
Class I Areas,Great Gulf Wilderness,A (Min Min),7,0,0
Class I Areas,Great Gulf Wilderness,A (Min Min),8,0,0
Class I Areas,Great Gulf Wilderness,A (Min Min),9,0,0
Class I Areas,Great Gulf Wilderness,A (Min Min),10,0,0
Class I Areas,Great Gulf Wilderness,A (Min Min),11,0,0
Class I Areas,Great Gulf Wilderness,A (Min Min),12,0,0
Class I Areas,Great Gulf Wilderness,A (Min Min),13,0,0
Class I Areas,Great Gulf Wilderness,A (Min Min),14,0,0
Class I Areas,Great Gulf Wilderness,A (Min Min),17,0,0
Class I Areas,Great Gulf Wilderness,A (Min Min),18,0,0
Class I Areas,Great Gulf Wilderness,B (Max Min),3,0,0
Class I Areas,Great Gulf Wilderness,B (Max Min),5,0,0
Class I Areas,Great Gulf Wilderness,B (Max Min),6,0,0
Class I Areas,Great Gulf Wilderness,B (Max Min),7,0,0
Class I Areas,Great Gulf Wilderness,B (Max Min),8,0,0
Class I Areas,Great Gulf Wilderness,B (Max Min),9,0,0
Class I Areas,Great Gulf Wilderness,B (Max Min),10,0,0
Class I Areas,Great Gulf Wilderness,B (Max Min),11,98.07349081,18683
Class I Areas,Great Gulf Wilderness,B (Max Min),12,0,0
Class I Areas,Great Gulf Wilderness,B (Max Min),13,1.784776903,340
Class I Areas,Great Gulf Wilderness,B (Max Min),14,0.141732283,27
Class I Areas,Great Gulf Wilderness,B (Max Min),15,0,0
Class I Areas,Great Gulf Wilderness,B (Max Min),17,0,0
Class I Areas,Great Gulf Wilderness,B (Max Min),18,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),5,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),6,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),7,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),8,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),9,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),10,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),12,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),13,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),14,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),15,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),17,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),18,98.2152231,18710
Class I Areas,Great Gulf Wilderness,C (Max Max),19,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),21,1.784776903,340
Class I Areas,Great Gulf Wilderness,C (Max Max),23,0,0
Class I Areas,Great Gulf Wilderness,C (Max Max),26,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),5,81.59580052,15544
Class I Areas,Great Gulf Wilderness,D (Min Max),6,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),7,18.40419948,3506
Class I Areas,Great Gulf Wilderness,D (Min Max),8,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),9,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),10,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),11,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),12,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),13,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),14,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),15,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),17,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),18,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),21,0,0
Class I Areas,Great Gulf Wilderness,D (Min Max),26,0,0
Class I Areas,Isle Royale NP,A (Min Min),3,68.10485273,385846
Class I Areas,Isle Royale NP,A (Min Min),5,26.44034829,149797
Class I Areas,Isle Royale NP,A (Min Min),6,0,0
Class I Areas,Isle Royale NP,A (Min Min),7,5.267347634,29842
Class I Areas,Isle Royale NP,A (Min Min),8,0.18745135,1062
Class I Areas,Isle Royale NP,A (Min Min),9,0,0
Class I Areas,Isle Royale NP,A (Min Min),10,0,0
Class I Areas,Isle Royale NP,A (Min Min),11,0,0
Class I Areas,Isle Royale NP,A (Min Min),12,0,0
Class I Areas,Isle Royale NP,A (Min Min),13,0,0
Class I Areas,Isle Royale NP,A (Min Min),14,0,0
Class I Areas,Isle Royale NP,A (Min Min),17,0,0
Class I Areas,Isle Royale NP,A (Min Min),18,0,0
Class I Areas,Isle Royale NP,B (Max Min),3,0,0
Class I Areas,Isle Royale NP,B (Max Min),5,1.403590523,7952
Class I Areas,Isle Royale NP,B (Max Min),6,0,0
Class I Areas,Isle Royale NP,B (Max Min),7,6.989358341,39598
Class I Areas,Isle Royale NP,B (Max Min),8,0,0
Class I Areas,Isle Royale NP,B (Max Min),9,5.158089267,29223
Class I Areas,Isle Royale NP,B (Max Min),10,0,0
Class I Areas,Isle Royale NP,B (Max Min),11,86.44896187,489774
Class I Areas,Isle Royale NP,B (Max Min),12,0,0
Class I Areas,Isle Royale NP,B (Max Min),13,0,0
Class I Areas,Isle Royale NP,B (Max Min),14,0,0
Class I Areas,Isle Royale NP,B (Max Min),15,0,0
Class I Areas,Isle Royale NP,B (Max Min),17,0,0
Class I Areas,Isle Royale NP,B (Max Min),18,0,0
Class I Areas,Isle Royale NP,C (Max Max),5,0,0
Class I Areas,Isle Royale NP,C (Max Max),6,0,0
Class I Areas,Isle Royale NP,C (Max Max),7,0.252759259,1432
Class I Areas,Isle Royale NP,C (Max Max),8,0,0
Class I Areas,Isle Royale NP,C (Max Max),9,0,0
Class I Areas,Isle Royale NP,C (Max Max),10,0,0
Class I Areas,Isle Royale NP,C (Max Max),12,6.989181833,39597
Class I Areas,Isle Royale NP,C (Max Max),13,1.151007772,6521
Class I Areas,Isle Royale NP,C (Max Max),14,0,0
Class I Areas,Isle Royale NP,C (Max Max),15,5.681611587,32189
Class I Areas,Isle Royale NP,C (Max Max),17,0,0
Class I Areas,Isle Royale NP,C (Max Max),18,85.92543955,486808
Class I Areas,Isle Royale NP,C (Max Max),19,0,0
Class I Areas,Isle Royale NP,C (Max Max),21,0,0
Class I Areas,Isle Royale NP,C (Max Max),23,0,0
Class I Areas,Isle Royale NP,C (Max Max),26,0,0
Class I Areas,Isle Royale NP,D (Min Max),5,49.39025359,279819
Class I Areas,Isle Royale NP,D (Min Max),6,0.373137621,2114
Class I Areas,Isle Royale NP,D (Min Max),7,41.25641827,233737
Class I Areas,Isle Royale NP,D (Min Max),8,0,0
Class I Areas,Isle Royale NP,D (Min Max),9,0,0
Class I Areas,Isle Royale NP,D (Min Max),10,0,0
Class I Areas,Isle Royale NP,D (Min Max),11,0,0
Class I Areas,Isle Royale NP,D (Min Max),12,8.509267545,48209
Class I Areas,Isle Royale NP,D (Min Max),13,0.283471627,1606
Class I Areas,Isle Royale NP,D (Min Max),14,0,0
Class I Areas,Isle Royale NP,D (Min Max),15,0,0
Class I Areas,Isle Royale NP,D (Min Max),17,0.18745135,1062
Class I Areas,Isle Royale NP,D (Min Max),18,0,0
Class I Areas,Isle Royale NP,D (Min Max),21,0,0
Class I Areas,Isle Royale NP,D (Min Max),26,0,0
Class I Areas,James River Face Wilderness,A (Min Min),3,99.65315154,33328
Class I Areas,James River Face Wilderness,A (Min Min),5,0,0
Class I Areas,James River Face Wilderness,A (Min Min),6,0.346848463,116
Class I Areas,James River Face Wilderness,A (Min Min),7,0,0
Class I Areas,James River Face Wilderness,A (Min Min),8,0,0
Class I Areas,James River Face Wilderness,A (Min Min),9,0,0
Class I Areas,James River Face Wilderness,A (Min Min),10,0,0
Class I Areas,James River Face Wilderness,A (Min Min),11,0,0
Class I Areas,James River Face Wilderness,A (Min Min),12,0,0
Class I Areas,James River Face Wilderness,A (Min Min),13,0,0
Class I Areas,James River Face Wilderness,A (Min Min),14,0,0
Class I Areas,James River Face Wilderness,A (Min Min),17,0,0
Class I Areas,James River Face Wilderness,A (Min Min),18,0,0
Class I Areas,James River Face Wilderness,B (Max Min),3,0,0
Class I Areas,James River Face Wilderness,B (Max Min),5,0,0
Class I Areas,James River Face Wilderness,B (Max Min),6,0,0
Class I Areas,James River Face Wilderness,B (Max Min),7,0,0
Class I Areas,James River Face Wilderness,B (Max Min),8,0,0
Class I Areas,James River Face Wilderness,B (Max Min),9,0,0
Class I Areas,James River Face Wilderness,B (Max Min),10,0,0
Class I Areas,James River Face Wilderness,B (Max Min),11,0.245185983,82
Class I Areas,James River Face Wilderness,B (Max Min),12,0,0
Class I Areas,James River Face Wilderness,B (Max Min),13,0,0
Class I Areas,James River Face Wilderness,B (Max Min),14,7.699437866,2575
Class I Areas,James River Face Wilderness,B (Max Min),15,0,0
Class I Areas,James River Face Wilderness,B (Max Min),17,2.804688434,938
Class I Areas,James River Face Wilderness,B (Max Min),18,89.25068772,29849
Class I Areas,James River Face Wilderness,C (Max Max),5,0,0
Class I Areas,James River Face Wilderness,C (Max Max),6,0,0
Class I Areas,James River Face Wilderness,C (Max Max),7,0,0
Class I Areas,James River Face Wilderness,C (Max Max),8,0,0
Class I Areas,James River Face Wilderness,C (Max Max),9,0,0
Class I Areas,James River Face Wilderness,C (Max Max),10,0,0
Class I Areas,James River Face Wilderness,C (Max Max),12,0,0
Class I Areas,James River Face Wilderness,C (Max Max),13,0,0
Class I Areas,James River Face Wilderness,C (Max Max),14,0,0
Class I Areas,James River Face Wilderness,C (Max Max),15,0,0
Class I Areas,James River Face Wilderness,C (Max Max),17,1.028585097,344
Class I Areas,James River Face Wilderness,C (Max Max),18,6.916038751,2313
Class I Areas,James River Face Wilderness,C (Max Max),19,0,0
Class I Areas,James River Face Wilderness,C (Max Max),21,0,0
Class I Areas,James River Face Wilderness,C (Max Max),23,0,0
Class I Areas,James River Face Wilderness,C (Max Max),26,92.05537615,30787
Class I Areas,James River Face Wilderness,D (Min Max),5,0,0
Class I Areas,James River Face Wilderness,D (Min Max),6,48.7172587,16293
Class I Areas,James River Face Wilderness,D (Min Max),7,19.92883626,6665
Class I Areas,James River Face Wilderness,D (Min Max),8,29.4223179,9840
Class I Areas,James River Face Wilderness,D (Min Max),9,0,0
Class I Areas,James River Face Wilderness,D (Min Max),10,1.931587131,646
Class I Areas,James River Face Wilderness,D (Min Max),11,0,0
Class I Areas,James River Face Wilderness,D (Min Max),12,0,0
Class I Areas,James River Face Wilderness,D (Min Max),13,0,0
Class I Areas,James River Face Wilderness,D (Min Max),14,0,0
Class I Areas,James River Face Wilderness,D (Min Max),15,0,0
Class I Areas,James River Face Wilderness,D (Min Max),17,0,0
Class I Areas,James River Face Wilderness,D (Min Max),18,0,0
Class I Areas,James River Face Wilderness,D (Min Max),21,0,0
Class I Areas,James River Face Wilderness,D (Min Max),26,0,0
Class I Areas,Lye Brook Wilderness,A (Min Min),3,98.79992103,70061
Class I Areas,Lye Brook Wilderness,A (Min Min),5,1.177515794,835
Class I Areas,Lye Brook Wilderness,A (Min Min),6,0,0
Class I Areas,Lye Brook Wilderness,A (Min Min),7,0.022563177,16
Class I Areas,Lye Brook Wilderness,A (Min Min),8,0,0
Class I Areas,Lye Brook Wilderness,A (Min Min),9,0,0
Class I Areas,Lye Brook Wilderness,A (Min Min),10,0,0
Class I Areas,Lye Brook Wilderness,A (Min Min),11,0,0
Class I Areas,Lye Brook Wilderness,A (Min Min),12,0,0
Class I Areas,Lye Brook Wilderness,A (Min Min),13,0,0
Class I Areas,Lye Brook Wilderness,A (Min Min),14,0,0
Class I Areas,Lye Brook Wilderness,A (Min Min),17,0,0
Class I Areas,Lye Brook Wilderness,A (Min Min),18,0,0
Class I Areas,Lye Brook Wilderness,B (Max Min),3,0,0
Class I Areas,Lye Brook Wilderness,B (Max Min),5,0,0
Class I Areas,Lye Brook Wilderness,B (Max Min),6,0,0
Class I Areas,Lye Brook Wilderness,B (Max Min),7,0,0
Class I Areas,Lye Brook Wilderness,B (Max Min),8,0,0
Class I Areas,Lye Brook Wilderness,B (Max Min),9,0,0
Class I Areas,Lye Brook Wilderness,B (Max Min),10,0,0
Class I Areas,Lye Brook Wilderness,B (Max Min),11,91.37663583,64797
